	feature	weight	abs
8033	log10_mut	-0.5248753472864383	0.5248753472864383
3130	DYNLRB1	0.3186405984622334	0.3186405984622334
7890	TSHZ3	0.28661719789399576	0.28661719789399576
4732	RBM23	0.277733522680404	0.277733522680404
2407	DEGS1	0.27506530821027353	0.27506530821027353
2044	PEG10	0.23252609612348826	0.23252609612348826
1363	MGP	0.21893079149279723	0.21893079149279723
4884	DPYD	0.21223831669651466	0.21223831669651466
7324	IRAK4	0.20204072152018795	0.20204072152018795
4480	KIAA0317	0.19815090770314128	0.19815090770314128
4015	KLF9	-0.1891789924980837	0.1891789924980837
4212	DERA	0.18821937993379656	0.18821937993379656
1204	STRAP	0.18360799180136528	0.18360799180136528
2794	PTEN	-0.18350492499814464	0.18350492499814464
1146	ALDH2	-0.17847601180685999	0.17847601180685999
6332	ZNF703	-0.17691713136673773	0.17691713136673773
1201	NUPR1	-0.17430034219622756	0.17430034219622756
4211	CHURC1	0.17133254933727612	0.17133254933727612
7825	RBPJ	0.16710055622069217	0.16710055622069217
7098	GGT7	0.16171901285900356	0.16171901285900356
7317	LGALS7B	0.16106361931322988	0.16106361931322988
6338	HLA-DRB6	-0.15757083273556174	0.15757083273556174
7791	CBWD2	0.15380535135285733	0.15380535135285733
5567	CNOT6L	-0.14967290283490983	0.14967290283490983
7873	CCDC55	-0.14878647801238115	0.14878647801238115
4790	MXI1	-0.14797674505250508	0.14797674505250508
2927	ABCF2	0.14645871474447977	0.14645871474447977
1506	ADD3	-0.1460437039855852	0.1460437039855852
1289	RCN1	-0.14207073465860356	0.14207073465860356
5240	PNPO	0.1375608427118077	0.1375608427118077
1185	ARHGAP23	0.13726016661039545	0.13726016661039545
3108	FABP5	-0.13560292188045625	0.13560292188045625
7228	INHBA	0.13445553886723455	0.13445553886723455
7039	C18orf25	0.1327799537432279	0.1327799537432279
2588	ULK1	-0.12811925170218638	0.12811925170218638
2012	PLEKHB2	0.1272217989339329	0.1272217989339329
4696	YIPF2	-0.12631364142504747	0.12631364142504747
6839	DCAF16	-0.12481350885453607	0.12481350885453607
209	SLC7A5	-0.1215002847089687	0.1215002847089687
6681	RAB7L1	-0.12129642649145023	0.12129642649145023
1800	NRP2	0.12016467536178359	0.12016467536178359
3874	SLFN11	0.11981452531643677	0.11981452531643677
1705	POLDIP2	-0.11932972574506269	0.11932972574506269
1298	GPX3	-0.11870913874982386	0.11870913874982386
